iter	MAE
126	5258.922574
127	5219.276435
128	5173.79337
129	5127.281433
130	5088.662742
131	5040.715424
132	4999.881346
133	4950.023976
134	4919.866738
135	4871.412739
136	4828.881189
137	4783.311457
138	4745.134039
139	4710.023765
140	4676.189964
141	4641.076352
142	4597.844704
143	4562.073976
144	4518.115737
145	4475.938457
146	4447.695005
147	4408.182474
148	4371.860657
149	4356.201524
150	4319.758601
151	4284.936287
152	4251.989753
153	4212.277828
154	4178.554631
155	4151.058969
156	4122.303856
157	4107.130786
158	4069.88427
159	4035.836227
160	4000.632736
161	3980.352083
162	3944.652613
163	3923.197303
164	3890.98496
165	3856.00364
166	3838.466262
167	3808.80623
168	3778.422078
169	3744.824635
170	3712.217342
171	3683.46848
172	3652.30418
173	3620.797606
174	3591.017505
175	3560.746396
176	3531.936408
177	3504.262518
178	3479.0844
179	3448.391175
180	3420.984733
181	3396.55741
182	3363.982007
183	3343.946884
184	3317.975871
185	3290.249659
186	3259.385562
187	3234.953832
188	3213.898353
189	3187.854506
190	3172.826042
191	3154.583845
192	3126.494535
193	3102.72281
194	3085.076788
195	3061.850315
196	3030.218279
197	3009.072436
198	2985.343429
199	2961.647376
200	2934.481312
201	2912.137091
202	2890.289787
203	2870.339401
204	2843.360608
205	2822.261765
206	2795.509026
207	2780.227089
208	2759.769102
209	2740.253575
210	2720.546077
211	2698.29685
212	2679.902071
213	2660.995219
214	2638.850373
215	2620.285323
216	2600.125977
217	2578.694257
218	2558.38256
219	2540.823138
220	2528.117429
221	2507.061319
222	2488.991316
223	2469.978525
224	2453.524019
225	2434.856204
226	2417.290205
227	2407.395295
228	2388.847966
229	2376.112066
230	2356.680381
231	2348.73544
232	2332.100578
233	2323.062701
234	2304.427826
235	2286.993546
236	2270.626656
237	2252.499294
238	2235.621001
239	2229.056017
240	2214.582533
241	2205.513901
242	2196.955184
243	2182.537961
244	2167.108656
245	2148.56273
246	2133.531126
247	2118.950538
248	2102.668044
249	2086.817391
250	2075.074688
251	2065.000019
252	2048.91665
253	2032.884766
254	2018.060544
255	2004.255859
256	1990.391537
257	1976.564557
258	1965.078259
259	1954.660995
260	1943.0681
261	1929.469716
262	1919.123902
263	1904.573926
264	1891.025001
265	1878.708457
266	1865.788191
267	1852.922411
268	1841.246037
269	1829.980345
270	1818.037464
271	1805.982866
272	1791.409263
273	1779.314519
274	1768.302815
275	1762.37102
276	1750.300844
277	1740.56189
278	1729.784846
279	1720.157494
280	1707.654235
281	1696.979364
282	1683.996114
283	1673.764462
284	1662.331431
285	1652.508196
286	1643.717893
287	1633.22097
288	1623.483814
289	1613.709781
290	1602.235049
291	1591.308904
292	1581.567351
293	1571.054636
294	1562.046385
295	1552.162332
296	1541.89436
297	1533.824939
298	1527.132074
299	1523.76923
300	1516.574091
301	1505.486294
302	1497.820163
303	1489.150475
304	1477.283766
305	1465.755394
306	1458.136467
307	1454.12076
308	1444.651879
309	1436.451763
310	1425.379139
311	1418.658594
312	1409.691854
313	1400.376976
314	1394.340741
315	1387.726726
316	1379.767213
317	1373.816538
318	1365.074188
319	1358.668249
320	1349.781246
321	1344.623562
322	1338.106833
323	1330.309524
324	1323.549282
325	1315.36632
326	1307.193062
327	1301.510143
328	1296.3731
329	1289.753927
330	1283.845168
331	1277.650191
332	1269.877367
333	1263.969807
334	1259.139116
335	1252.807253
336	1246.214162
337	1239.778787
338	1233.445317
339	1227.666648
340	1221.755426
341	1216.438935
342	1211.631093
343	1205.41949
344	1200.446931
345	1194.146562
346	1185.173486
347	1177.566706
348	1172.422187
349	1165.493706
350	1158.91511
351	1151.974065
352	1146.142199
353	1139.66904
354	1133.099116
355	1125.993742
356	1120.048279
357	1112.203926
358	1107.446671
359	1102.38506
360	1096.346181
361	1092.680566
362	1088.118802
363	1083.776628
364	1077.81528
365	1073.991807
366	1070.558732
367	1068.086932
368	1064.44661
369	1060.971409
370	1055.711387
371	1050.682857
372	1045.335898
373	1038.346713
374	1030.990853
375	1026.103743
376	1021.300069
377	1016.241594
378	1009.42074
379	1002.84385
380	998.2391053
381	991.7033365
382	986.8348951
383	983.0296114
384	978.3969828
385	974.0204223
386	969.4534633
387	964.8390527
388	961.7001768
389	957.7619754
390	952.811867
391	949.4424067
392	946.0922963
393	942.5975192
394	940.268116
395	934.8273539
396	929.9494624
397	926.8999377
398	924.5519142
399	922.2975266
400	920.6009891
401	918.1132576
402	915.9304955
403	913.7643899
404	912.492881
405	910.1006567
406	904.9506645
407	902.7291743
408	900.9256212
409	898.7469252
410	896.5285636
411	893.0945265
412	890.0929954
413	887.8533379
414	884.9831277
415	882.9399375
416	880.8385344
417	878.7264328
418	877.3376861
419	875.7073789
420	873.6196081
421	870.7602466
422	867.6845232
423	865.6875356
424	863.9856086
425	861.9537579
426	859.9741084
427	858.1230353
428	855.9325959
429	854.1696577
430	852.5950246
431	850.9549313
432	849.4614086
433	846.9048809
434	845.2408954
435	843.1662586
436	841.2679686
437	838.4778729
438	833.8472256
439	831.6670306
440	829.9735266
441	828.408213
442	826.8126041
443	824.345687
444	822.3670543
445	820.9551867
446	819.4900253
447	817.1334242
448	815.7630891
449	814.5172966
450	812.8959274
451	811.2734288
452	808.5077338
453	806.2477594
454	804.1257455
455	802.3557823
456	799.7627609
457	797.259716
458	793.0280944
459	791.3629285
460	789.7286673
461	787.4389829
462	786.1326979
463	784.627275
464	782.3839829
465	780.8080887
466	779.2351248
467	777.8347079
468	776.2363438
469	774.7327047
470	773.3264233
471	771.5228132
472	769.4478202
473	767.9899834
474	766.8839631
475	765.5927062
476	763.4868836
477	762.2936439
478	761.4601636
479	759.7470375
480	756.535279
481	755.0482054
482	753.7107481
483	751.7245059
484	750.9953903
485	749.7263377
486	748.1185837
487	746.5587639
488	745.2271392
489	743.9868334
490	742.0363875
491	741.0610587
492	739.3518953
493	738.1480154
494	737.0536941
495	735.9534304
496	735.1083479
497	733.3596185
498	731.4869019
499	730.3458337
